Player,Overs,Maidens,Runs,Wkts,Econ,Inns,Oppn,Ground,Date
BJ Watling (NZ),DNB,-,-,-,-,2,v Sri Lanka,Pallekele,6-Nov-12
RJ Nicol (NZ),DNB,-,-,-,-,2,v Sri Lanka,Pallekele,6-Nov-12
KS Williamson (NZ),DNB,-,-,-,-,2,v Sri Lanka,Pallekele,6-Nov-12
LRPL Taylor (NZ),DNB,-,-,-,-,2,v Sri Lanka,Pallekele,6-Nov-12
BB McCullum (NZ),DNB,-,-,-,-,2,v Sri Lanka,Pallekele,6-Nov-12
SL Malinga (SL),6,1,38,0,6.33,1,v New Zealand,Hambantota,10-Nov-12
KMDN Kulasekara (SL),5,1,17,2,3.4,1,v New Zealand,Hambantota,10-Nov-12
AD Mathews (SL),6,0,19,0,3.16,1,v New Zealand,Hambantota,10-Nov-12
NLTC Perera (SL),5,0,16,1,3.2,1,v New Zealand,Hambantota,10-Nov-12
HMRKB Herath (SL),6,0,23,1,3.83,1,v New Zealand,Hambantota,10-Nov-12
BMAJ Mendis (SL),4,0,15,3,3.75,1,v New Zealand,Hambantota,10-Nov-12
WU Tharanga (SL),DNB,-,-,-,-,1,v New Zealand,Hambantota,10-Nov-12
DPMD Jayawardene (SL),DNB,-,-,-,-,1,v New Zealand,Hambantota,10-Nov-12
HDRL Thirimanne (SL),DNB,-,-,-,-,1,v New Zealand,Hambantota,10-Nov-12
KC Sangakkara (SL),DNB,-,-,-,-,1,v New Zealand,Hambantota,10-Nov-12
LD Chandimal (SL),DNB,-,-,-,-,1,v New Zealand,Hambantota,10-Nov-12
TA Boult (NZ),7,0,32,1,4.57,2,v Sri Lanka,Hambantota,10-Nov-12
TG Southee (NZ),7,0,32,1,4.57,2,v Sri Lanka,Hambantota,10-Nov-12
AF Milne (NZ),4.2,0,21,0,4.84,2,v Sri Lanka,Hambantota,10-Nov-12
AM Ellis (NZ),6,0,23,1,3.83,2,v Sri Lanka,Hambantota,10-Nov-12
NL McCullum (NZ),2,0,17,0,8.5,2,v Sri Lanka,Hambantota,10-Nov-12
LRPL Taylor (NZ),DNB,-,-,-,-,2,v Sri Lanka,Hambantota,10-Nov-12
BB McCullum (NZ),DNB,-,-,-,-,2,v Sri Lanka,Hambantota,10-Nov-12
KS Williamson (NZ),DNB,-,-,-,-,2,v Sri Lanka,Hambantota,10-Nov-12
BJ Watling (NZ),DNB,-,-,-,-,2,v Sri Lanka,Hambantota,10-Nov-12
RJ Nicol (NZ),DNB,-,-,-,-,2,v Sri Lanka,Hambantota,10-Nov-12
JEC Franklin (NZ),DNB,-,-,-,-,2,v Sri Lanka,Hambantota,10-Nov-12
A Dananjaya (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
RMS Eranga (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
SL Malinga (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
KC Sangakkara (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
LD Chandimal (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
AD Mathews (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
WU Tharanga (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
HDRL Thirimanne (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
NLTC Perera (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
BMAJ Mendis (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
DPMD Jayawardene (SL),TDNB,-,-,-,-,-,v New Zealand,Hambantota,12-Nov-12
TA Boult (NZ),5,0,23,1,4.6,1,v Sri Lanka,Hambantota,12-Nov-12
TG Southee (NZ),5.3,2,18,3,3.27,1,v Sri Lanka,Hambantota,12-Nov-12
AF Milne (NZ),5,0,17,1,3.4,1,v Sri Lanka,Hambantota,12-Nov-12
NL McCullum (NZ),7,0,28,0,4,1,v Sri Lanka,Hambantota,12-Nov-12
RJ Nicol (NZ),2,0,12,0,6,1,v Sri Lanka,Hambantota,12-Nov-12
AM Ellis (NZ),4,0,22,2,5.5,1,v Sri Lanka,Hambantota,12-Nov-12
KS Williamson (NZ),DNB,-,-,-,-,1,v Sri Lanka,Hambantota,12-Nov-12
BJ Watling (NZ),DNB,-,-,-,-,1,v Sri Lanka,Hambantota,12-Nov-12
JEC Franklin (NZ),DNB,-,-,-,-,1,v Sri Lanka,Hambantota,12-Nov-12
LRPL Taylor (NZ),DNB,-,-,-,-,1,v Sri Lanka,Hambantota,12-Nov-12
BB McCullum (NZ),DNB,-,-,-,-,1,v Sri Lanka,Hambantota,12-Nov-12
Mashrafe Mortaza (BDESH),9,2,39,1,4.33,1,v West Indies,Khulna,30-Nov-12
Abul Hasan (BDESH),8,0,45,0,5.62,1,v West Indies,Khulna,30-Nov-12
Sohag Gazi (BDESH),9.5,2,29,4,2.94,1,v West Indies,Khulna,30-Nov-12
Abdur Razzak (BDESH),10,1,39,3,3.9,1,v West Indies,Khulna,30-Nov-12
Naeem Islam (BDESH),1,0,17,0,17,1,v West Indies,Khulna,30-Nov-12
Mahmudullah (BDESH),9,0,29,1,3.22,1,v West Indies,Khulna,30-Nov-12
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v West Indies,Khulna,30-Nov-12
Mominul Haque (BDESH),DNB,-,-,-,-,1,v West Indies,Khulna,30-Nov-12
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v West Indies,Khulna,30-Nov-12
Anamul Haque (BDESH),DNB,-,-,-,-,1,v West Indies,Khulna,30-Nov-12
Nasir Hossain (BDESH),DNB,-,-,-,-,1,v West Indies,Khulna,30-Nov-12
MN Samuels (WI),3,0,14,0,4.66,2,v Bangladesh,Khulna,30-Nov-12
R Rampaul (WI),7.2,0,41,0,5.59,2,v Bangladesh,Khulna,30-Nov-12
KAJ Roach (WI),7,0,48,0,6.85,2,v Bangladesh,Khulna,30-Nov-12
SP Narine (WI),8,1,39,1,4.87,2,v Bangladesh,Khulna,30-Nov-12
DJG Sammy (WI),8,0,29,1,3.62,2,v Bangladesh,Khulna,30-Nov-12
AD Russell (WI),7,0,28,1,4,2,v Bangladesh,Khulna,30-Nov-12
LMP Simmons (WI),DNB,-,-,-,-,2,v Bangladesh,Khulna,30-Nov-12
CH Gayle (WI),DNB,-,-,-,-,2,v Bangladesh,Khulna,30-Nov-12
DM Bravo (WI),DNB,-,-,-,-,2,v Bangladesh,Khulna,30-Nov-12
KA Pollard (WI),DNB,-,-,-,-,2,v Bangladesh,Khulna,30-Nov-12
DC Thomas (WI),DNB,-,-,-,-,2,v Bangladesh,Khulna,30-Nov-12
R Rampaul (WI),10,1,49,5,4.9,1,v Bangladesh,Khulna,2-Dec-12
AD Russell (WI),9,0,58,1,6.44,1,v Bangladesh,Khulna,2-Dec-12
DJG Sammy (WI),5,0,35,0,7,1,v Bangladesh,Khulna,2-Dec-12
SP Narine (WI),10,1,48,0,4.8,1,v Bangladesh,Khulna,2-Dec-12
DR Smith (WI),9,0,46,0,5.11,1,v Bangladesh,Khulna,2-Dec-12
MN Samuels (WI),7,0,50,0,7.14,1,v Bangladesh,Khulna,2-Dec-12
LMP Simmons (WI),DNB,-,-,-,-,1,v Bangladesh,Khulna,2-Dec-12
CH Gayle (WI),DNB,-,-,-,-,1,v Bangladesh,Khulna,2-Dec-12
DM Bravo (WI),DNB,-,-,-,-,1,v Bangladesh,Khulna,2-Dec-12
KA Pollard (WI),DNB,-,-,-,-,1,v Bangladesh,Khulna,2-Dec-12
DC Thomas (WI),DNB,-,-,-,-,1,v Bangladesh,Khulna,2-Dec-12
Sohag Gazi (BDESH),7.1,2,21,3,2.93,2,v West Indies,Khulna,2-Dec-12
Mashrafe Mortaza (BDESH),6,0,26,1,4.33,2,v West Indies,Khulna,2-Dec-12
Abdur Razzak (BDESH),5,0,19,3,3.8,2,v West Indies,Khulna,2-Dec-12
Abul Hasan (BDESH),1,0,9,0,9,2,v West Indies,Khulna,2-Dec-12
Naeem Islam (BDESH),7,0,28,1,4,2,v West Indies,Khulna,2-Dec-12
Mahmudullah (BDESH),5,0,27,1,5.4,2,v West Indies,Khulna,2-Dec-12
Mominul Haque (BDESH),DNB,-,-,-,-,2,v West Indies,Khulna,2-Dec-12
Tamim Iqbal (BDESH),DNB,-,-,-,-,2,v West Indies,Khulna,2-Dec-12
Anamul Haque (BDESH),DNB,-,-,-,-,2,v West Indies,Khulna,2-Dec-12
Nasir Hossain (BDESH),DNB,-,-,-,-,2,v West Indies,Khulna,2-Dec-12
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,2,v West Indies,Khulna,2-Dec-12
R Rampaul (WI),4,0,19,0,4.75,1,v Bangladesh,Dhaka,5-Dec-12
DJG Sammy (WI),9.1,0,46,2,5.01,1,v Bangladesh,Dhaka,5-Dec-12
SP Narine (WI),10,0,37,4,3.7,1,v Bangladesh,Dhaka,5-Dec-12
V Permaul (WI),10,0,40,2,4,1,v Bangladesh,Dhaka,5-Dec-12
CH Gayle (WI),10,1,36,1,3.6,1,v Bangladesh,Dhaka,5-Dec-12
KA Pollard (WI),2,0,21,0,10.5,1,v Bangladesh,Dhaka,5-Dec-12
DR Smith (WI),3,0,14,1,4.66,1,v Bangladesh,Dhaka,5-Dec-12
MN Samuels (WI),1,0,7,0,7,1,v Bangladesh,Dhaka,5-Dec-12
DM Bravo (WI),DNB,-,-,-,-,1,v Bangladesh,Dhaka,5-Dec-12
DC Thomas (WI),DNB,-,-,-,-,1,v Bangladesh,Dhaka,5-Dec-12
KOA Powell (WI),DNB,-,-,-,-,1,v Bangladesh,Dhaka,5-Dec-12
Sohag Gazi (BDESH),9,1,36,0,4,2,v West Indies,Dhaka,5-Dec-12
Mashrafe Mortaza (BDESH),6,0,34,2,5.66,2,v West Indies,Dhaka,5-Dec-12
Rubel Hossain (BDESH),5,0,42,0,8.4,2,v West Indies,Dhaka,5-Dec-12
Abdur Razzak (BDESH),10,0,34,2,3.4,2,v West Indies,Dhaka,5-Dec-12
Mahmudullah (BDESH),9,0,43,1,4.77,2,v West Indies,Dhaka,5-Dec-12
Naeem Islam (BDESH),5,1,21,1,4.2,2,v West Indies,Dhaka,5-Dec-12
Mominul Haque (BDESH),3,0,9,0,3,2,v West Indies,Dhaka,5-Dec-12
Tamim Iqbal (BDESH),DNB,-,-,-,-,2,v West Indies,Dhaka,5-Dec-12
Anamul Haque (BDESH),DNB,-,-,-,-,2,v West Indies,Dhaka,5-Dec-12
Nasir Hossain (BDESH),DNB,-,-,-,-,2,v West Indies,Dhaka,5-Dec-12
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,2,v West Indies,Dhaka,5-Dec-12
Sohag Gazi (BDESH),10,1,38,1,3.8,1,v West Indies,Dhaka,7-Dec-12
Mashrafe Mortaza (BDESH),10,0,54,1,5.4,1,v West Indies,Dhaka,7-Dec-12
Abdur Razzak (BDESH),10,1,47,2,4.7,1,v West Indies,Dhaka,7-Dec-12
Elias Sunny (BDESH),10,2,21,2,2.1,1,v West Indies,Dhaka,7-Dec-12
Mahmudullah (BDESH),10,1,46,3,4.6,1,v West Indies,Dhaka,7-Dec-12
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,7-Dec-12
Naeem Islam (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,7-Dec-12
Anamul Haque (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,7-Dec-12
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,7-Dec-12
Nasir Hossain (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,7-Dec-12
Mominul Haque (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,7-Dec-12
KAJ Roach (WI),8,0,29,2,3.62,2,v Bangladesh,Dhaka,7-Dec-12
DJG Sammy (WI),8,1,28,3,3.5,2,v Bangladesh,Dhaka,7-Dec-12
SP Narine (WI),8,1,32,1,4,2,v Bangladesh,Dhaka,7-Dec-12
V Permaul (WI),8,0,35,2,4.37,2,v Bangladesh,Dhaka,7-Dec-12
DR Smith (WI),2.1,0,7,2,3.23,2,v Bangladesh,Dhaka,7-Dec-12
CH Gayle (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,7-Dec-12
DM Bravo (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,7-Dec-12
DC Thomas (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,7-Dec-12
MN Samuels (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,7-Dec-12
KOA Powell (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,7-Dec-12
KA Pollard (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,7-Dec-12
Sohag Gazi (BDESH),10,2,32,1,3.2,1,v West Indies,Dhaka,8-Dec-12
Shafiul Islam (BDESH),9,4,31,3,3.44,1,v West Indies,Dhaka,8-Dec-12
Elias Sunny (BDESH),8,0,58,0,7.25,1,v West Indies,Dhaka,8-Dec-12
Abdur Razzak (BDESH),9,1,39,0,4.33,1,v West Indies,Dhaka,8-Dec-12
Mahmudullah (BDESH),10,1,38,2,3.8,1,v West Indies,Dhaka,8-Dec-12
Mominul Haque (BDESH),2,0,14,2,7,1,v West Indies,Dhaka,8-Dec-12
Anamul Haque (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,8-Dec-12
Nasir Hossain (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,8-Dec-12
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,8-Dec-12
Jahurul Islam (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,8-Dec-12
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v West Indies,Dhaka,8-Dec-12
KAJ Roach (WI),9,0,56,5,6.22,2,v Bangladesh,Dhaka,8-Dec-12
DJG Sammy (WI),5,1,23,0,4.6,2,v Bangladesh,Dhaka,8-Dec-12
AD Russell (WI),10,0,51,0,5.1,2,v Bangladesh,Dhaka,8-Dec-12
SP Narine (WI),10,1,38,3,3.8,2,v Bangladesh,Dhaka,8-Dec-12
V Permaul (WI),9,0,39,0,4.33,2,v Bangladesh,Dhaka,8-Dec-12
MN Samuels (WI),1,0,7,0,7,2,v Bangladesh,Dhaka,8-Dec-12
DM Bravo (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,8-Dec-12
KOA Powell (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,8-Dec-12
KA Pollard (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,8-Dec-12
DC Thomas (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,8-Dec-12
CH Gayle (WI),DNB,-,-,-,-,2,v Bangladesh,Dhaka,8-Dec-12
Mohammad Irfan (PAK),9,2,58,1,6.44,1,v India,Chennai,30-Dec-12
Junaid Khan (PAK),9,1,43,4,4.77,1,v India,Chennai,30-Dec-12
Umar Gul (PAK),8,0,38,0,4.75,1,v India,Chennai,30-Dec-12
Saeed Ajmal (PAK),10,1,42,0,4.2,1,v India,Chennai,30-Dec-12
Mohammad Hafeez (PAK),10,2,26,1,2.6,1,v India,Chennai,30-Dec-12
Shoaib Malik (PAK),4,0,9,0,2.25,1,v India,Chennai,30-Dec-12
Azhar Ali (PAK),DNB,-,-,-,-,1,v India,Chennai,30-Dec-12
Misbah-ul-Haq (PAK),DNB,-,-,-,-,1,v India,Chennai,30-Dec-12
Kamran Akmal (PAK),DNB,-,-,-,-,1,v India,Chennai,30-Dec-12
Nasir Jamshed (PAK),DNB,-,-,-,-,1,v India,Chennai,30-Dec-12
Younis Khan (PAK),DNB,-,-,-,-,1,v India,Chennai,30-Dec-12
B Kumar (INDIA),9,3,27,2,3,2,v Pakistan,Chennai,30-Dec-12
I Sharma (INDIA),10,0,39,1,3.9,2,v Pakistan,Chennai,30-Dec-12
AB Dinda (INDIA),9.1,0,45,1,4.9,2,v Pakistan,Chennai,30-Dec-12
R Ashwin (INDIA),10,0,34,0,3.4,2,v Pakistan,Chennai,30-Dec-12
Yuvraj Singh (INDIA),5,0,33,0,6.6,2,v Pakistan,Chennai,30-Dec-12
SK Raina (INDIA),2.1,0,23,0,10.61,2,v Pakistan,Chennai,30-Dec-12
V Kohli (INDIA),2.5,0,21,0,7.41,2,v Pakistan,Chennai,30-Dec-12
G Gambhir (INDIA),DNB,-,-,-,-,2,v Pakistan,Chennai,30-Dec-12
RG Sharma (INDIA),DNB,-,-,-,-,2,v Pakistan,Chennai,30-Dec-12
V Sehwag (INDIA),DNB,-,-,-,-,2,v Pakistan,Chennai,30-Dec-12
MS Dhoni (INDIA),DNB,-,-,-,-,2,v Pakistan,Chennai,30-Dec-12
B Kumar (INDIA),9,0,61,1,6.77,1,v Pakistan,Kolkata,3-Jan-13
AB Dinda (INDIA),7,0,42,0,6,1,v Pakistan,Kolkata,3-Jan-13
I Sharma (INDIA),9.3,0,34,3,3.57,1,v Pakistan,Kolkata,3-Jan-13
R Ashwin (INDIA),10,0,49,1,4.9,1,v Pakistan,Kolkata,3-Jan-13
SK Raina (INDIA),2,0,13,1,6.5,1,v Pakistan,Kolkata,3-Jan-13
RA Jadeja (INDIA),10,1,41,3,4.1,1,v Pakistan,Kolkata,3-Jan-13
Yuvraj Singh (INDIA),1,0,10,0,10,1,v Pakistan,Kolkata,3-Jan-13
G Gambhir (INDIA),DNB,-,-,-,-,1,v Pakistan,Kolkata,3-Jan-13
V Kohli (INDIA),DNB,-,-,-,-,1,v Pakistan,Kolkata,3-Jan-13
V Sehwag (INDIA),DNB,-,-,-,-,1,v Pakistan,Kolkata,3-Jan-13
MS Dhoni (INDIA),DNB,-,-,-,-,1,v Pakistan,Kolkata,3-Jan-13
Mohammad Irfan (PAK),10,0,46,0,4.6,2,v India,Kolkata,3-Jan-13
Junaid Khan (PAK),9,1,39,3,4.33,2,v India,Kolkata,3-Jan-13
Umar Gul (PAK),7,0,24,2,3.42,2,v India,Kolkata,3-Jan-13
Mohammad Hafeez (PAK),10,0,29,1,2.9,2,v India,Kolkata,3-Jan-13
Saeed Ajmal (PAK),10,1,20,3,2,2,v India,Kolkata,3-Jan-13
Shoaib Malik (PAK),2,1,3,1,1.5,2,v India,Kolkata,3-Jan-13
Misbah-ul-Haq (PAK),DNB,-,-,-,-,2,v India,Kolkata,3-Jan-13
Kamran Akmal (PAK),DNB,-,-,-,-,2,v India,Kolkata,3-Jan-13
Nasir Jamshed (PAK),DNB,-,-,-,-,2,v India,Kolkata,3-Jan-13
Younis Khan (PAK),DNB,-,-,-,-,2,v India,Kolkata,3-Jan-13
Azhar Ali (PAK),DNB,-,-,-,-,2,v India,Kolkata,3-Jan-13
Mohammad Irfan (PAK),7,1,28,2,4,1,v India,Delhi,6-Jan-13
Junaid Khan (PAK),9,1,17,1,1.88,1,v India,Delhi,6-Jan-13
Umar Gul (PAK),8,1,45,1,5.62,1,v India,Delhi,6-Jan-13
Mohammad Hafeez (PAK),10,0,44,1,4.4,1,v India,Delhi,6-Jan-13
Saeed Ajmal (PAK),9.4,1,24,5,2.48,1,v India,Delhi,6-Jan-13
Nasir Jamshed (PAK),DNB,-,-,-,-,1,v India,Delhi,6-Jan-13
Kamran Akmal (PAK),DNB,-,-,-,-,1,v India,Delhi,6-Jan-13
Younis Khan (PAK),DNB,-,-,-,-,1,v India,Delhi,6-Jan-13
Umar Akmal (PAK),DNB,-,-,-,-,1,v India,Delhi,6-Jan-13
Misbah-ul-Haq (PAK),DNB,-,-,-,-,1,v India,Delhi,6-Jan-13
Shoaib Malik (PAK),DNB,-,-,-,-,1,v India,Delhi,6-Jan-13
B Kumar (INDIA),10,2,31,2,3.1,2,v Pakistan,Delhi,6-Jan-13
Mohammed Shami (INDIA),9,4,23,1,2.55,2,v Pakistan,Delhi,6-Jan-13
I Sharma (INDIA),9.5,0,36,3,3.66,2,v Pakistan,Delhi,6-Jan-13
R Ashwin (INDIA),10,1,47,2,4.7,2,v Pakistan,Delhi,6-Jan-13
RA Jadeja (INDIA),10,2,19,1,1.9,2,v Pakistan,Delhi,6-Jan-13
G Gambhir (INDIA),DNB,-,-,-,-,2,v Pakistan,Delhi,6-Jan-13
MS Dhoni (INDIA),DNB,-,-,-,-,2,v Pakistan,Delhi,6-Jan-13
V Kohli (INDIA),DNB,-,-,-,-,2,v Pakistan,Delhi,6-Jan-13
SK Raina (INDIA),DNB,-,-,-,-,2,v Pakistan,Delhi,6-Jan-13
Yuvraj Singh (INDIA),DNB,-,-,-,-,2,v Pakistan,Delhi,6-Jan-13
AM Rahane (INDIA),DNB,-,-,-,-,2,v Pakistan,Delhi,6-Jan-13
KMDN Kulasekara (SL),10,0,53,1,5.3,1,v Australia,Melbourne,11-Jan-13
SL Malinga (SL),10,1,61,1,6.1,1,v Australia,Melbourne,11-Jan-13
AD Mathews (SL),8,0,46,1,5.75,1,v Australia,Melbourne,11-Jan-13
BAW Mendis (SL),10,0,62,1,6.2,1,v Australia,Melbourne,11-Jan-13
TM Dilshan (SL),4,0,17,0,4.25,1,v Australia,Melbourne,11-Jan-13
NLTC Perera (SL),4,0,28,0,7,1,v Australia,Melbourne,11-Jan-13
BMAJ Mendis (SL),4,0,33,0,8.25,1,v Australia,Melbourne,11-Jan-13
WU Tharanga (SL),DNB,-,-,-,-,1,v Australia,Melbourne,11-Jan-13
LD Chandimal (SL),DNB,-,-,-,-,1,v Australia,Melbourne,11-Jan-13
DPMD Jayawardene (SL),DNB,-,-,-,-,1,v Australia,Melbourne,11-Jan-13
HDRL Thirimanne (SL),DNB,-,-,-,-,1,v Australia,Melbourne,11-Jan-13
MA Starc (AUS),6,0,25,1,4.16,2,v Sri Lanka,Melbourne,11-Jan-13
CJ McKay (AUS),8,0,33,4,4.12,2,v Sri Lanka,Melbourne,11-Jan-13
MG Johnson (AUS),9,1,43,2,4.77,2,v Sri Lanka,Melbourne,11-Jan-13
XJ Doherty (AUS),8,0,41,0,5.12,2,v Sri Lanka,Melbourne,11-Jan-13
GJ Maxwell (AUS),4,0,28,0,7,2,v Sri Lanka,Melbourne,11-Jan-13
DJ Hussey (AUS),5,0,24,0,4.8,2,v Sri Lanka,Melbourne,11-Jan-13
BJ Haddin (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,11-Jan-13
UT Khawaja (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,11-Jan-13
GJ Bailey (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,11-Jan-13
PJ Hughes (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,11-Jan-13
AJ Finch (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,11-Jan-13
B Kumar (INDIA),7,0,52,0,7.42,1,v England,Rajkot,11-Jan-13
I Sharma (INDIA),10,2,86,0,8.6,1,v England,Rajkot,11-Jan-13
AB Dinda (INDIA),8,0,53,2,6.62,1,v England,Rajkot,11-Jan-13
R Ashwin (INDIA),9,0,61,0,6.77,1,v England,Rajkot,11-Jan-13
RA Jadeja (INDIA),10,0,46,0,4.6,1,v England,Rajkot,11-Jan-13
SK Raina (INDIA),5,0,18,1,3.6,1,v England,Rajkot,11-Jan-13
V Kohli (INDIA),1,0,9,0,9,1,v England,Rajkot,11-Jan-13
G Gambhir (INDIA),DNB,-,-,-,-,1,v England,Rajkot,11-Jan-13
AM Rahane (INDIA),DNB,-,-,-,-,1,v England,Rajkot,11-Jan-13
MS Dhoni (INDIA),DNB,-,-,-,-,1,v England,Rajkot,11-Jan-13
Yuvraj Singh (INDIA),DNB,-,-,-,-,1,v England,Rajkot,11-Jan-13
ST Finn (ENG),10,0,63,1,6.3,2,v India,Rajkot,11-Jan-13
JW Dernbach (ENG),10,0,69,2,6.9,2,v India,Rajkot,11-Jan-13
TT Bresnan (ENG),8,0,67,2,8.37,2,v India,Rajkot,11-Jan-13
JC Tredwell (ENG),10,0,44,4,4.4,2,v India,Rajkot,11-Jan-13
JE Root (ENG),9,0,51,0,5.66,2,v India,Rajkot,11-Jan-13
SR Patel (ENG),3,0,21,0,7,2,v India,Rajkot,11-Jan-13
IR Bell (ENG),DNB,-,-,-,-,2,v India,Rajkot,11-Jan-13
EJG Morgan (ENG),DNB,-,-,-,-,2,v India,Rajkot,11-Jan-13
KP Pietersen (ENG),DNB,-,-,-,-,2,v India,Rajkot,11-Jan-13
AN Cook (ENG),DNB,-,-,-,-,2,v India,Rajkot,11-Jan-13
C Kieswetter (ENG),DNB,-,-,-,-,2,v India,Rajkot,11-Jan-13
KMDN Kulasekara (SL),9,0,24,1,2.66,1,v Australia,Adelaide,13-Jan-13
AD Mathews (SL),10,1,24,2,2.4,1,v Australia,Adelaide,13-Jan-13
NLTC Perera (SL),9,0,40,2,4.44,1,v Australia,Adelaide,13-Jan-13
SL Malinga (SL),9,0,32,3,3.55,1,v Australia,Adelaide,13-Jan-13
BAW Mendis (SL),7.5,0,41,1,5.23,1,v Australia,Adelaide,13-Jan-13
BMAJ Mendis (SL),2,0,7,0,3.5,1,v Australia,Adelaide,13-Jan-13
WU Tharanga (SL),DNB,-,-,-,-,1,v Australia,Adelaide,13-Jan-13
MDKJ Perera (SL),DNB,-,-,-,-,1,v Australia,Adelaide,13-Jan-13
DPMD Jayawardene (SL),DNB,-,-,-,-,1,v Australia,Adelaide,13-Jan-13
HDRL Thirimanne (SL),DNB,-,-,-,-,1,v Australia,Adelaide,13-Jan-13
TM Dilshan (SL),DNB,-,-,-,-,1,v Australia,Adelaide,13-Jan-13
CJ McKay (AUS),10,0,43,1,4.3,2,v Sri Lanka,Adelaide,13-Jan-13
KW Richardson (AUS),6,3,15,0,2.5,2,v Sri Lanka,Adelaide,13-Jan-13
BCJ Cutting (AUS),10,0,42,1,4.2,2,v Sri Lanka,Adelaide,13-Jan-13
XJ Doherty (AUS),7,0,34,0,4.85,2,v Sri Lanka,Adelaide,13-Jan-13
SPD Smith (AUS),4,0,16,0,4,2,v Sri Lanka,Adelaide,13-Jan-13
GJ Maxwell (AUS),3.1,0,19,0,6,2,v Sri Lanka,Adelaide,13-Jan-13
BJ Haddin (AUS),DNB,-,-,-,-,2,v Sri Lanka,Adelaide,13-Jan-13
AJ Finch (AUS),DNB,-,-,-,-,2,v Sri Lanka,Adelaide,13-Jan-13
DJ Hussey (AUS),DNB,-,-,-,-,2,v Sri Lanka,Adelaide,13-Jan-13
PJ Hughes (AUS),DNB,-,-,-,-,2,v Sri Lanka,Adelaide,13-Jan-13
GJ Bailey (AUS),DNB,-,-,-,-,2,v Sri Lanka,Adelaide,13-Jan-13
ST Finn (ENG),10,1,51,2,5.1,1,v India,Kochi,15-Jan-13
JW Dernbach (ENG),9,0,73,2,8.11,1,v India,Kochi,15-Jan-13
CR Woakes (ENG),9,0,60,1,6.66,1,v India,Kochi,15-Jan-13
SR Patel (ENG),10,0,43,0,4.3,1,v India,Kochi,15-Jan-13
JC Tredwell (ENG),10,0,48,1,4.8,1,v India,Kochi,15-Jan-13
JE Root (ENG),2,0,5,0,2.5,1,v India,Kochi,15-Jan-13
AN Cook (ENG),DNB,-,-,-,-,1,v India,Kochi,15-Jan-13
KP Pietersen (ENG),DNB,-,-,-,-,1,v India,Kochi,15-Jan-13
C Kieswetter (ENG),DNB,-,-,-,-,1,v India,Kochi,15-Jan-13
EJG Morgan (ENG),DNB,-,-,-,-,1,v India,Kochi,15-Jan-13
IR Bell (ENG),DNB,-,-,-,-,1,v India,Kochi,15-Jan-13
B Kumar (INDIA),10,2,29,3,2.9,2,v England,Kochi,15-Jan-13
Mohammed Shami (INDIA),4,1,24,1,6,2,v England,Kochi,15-Jan-13
