Date,Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Runs_only,Not_Outs
2009-01-21,P Utseya (ZIM),38,111,101,2,1,37.62,1,v Bangladesh,Dhaka,38,0
2009-01-21,RW Price (ZIM),7,9,6,1,0,116.66,1,v Bangladesh,Dhaka,7,0
2009-01-21,T Mupariwa (ZIM),1*,3,1,0,0,100,1,v Bangladesh,Dhaka,1*,1
2009-01-21,Tamim Iqbal (BDESH),21,31,27,3,0,77.77,2,v Zimbabwe,Dhaka,21,0
2009-01-21,Mehrab Hossain jnr (BDESH),43,108,85,5,0,50.58,2,v Zimbabwe,Dhaka,43,0
2009-01-21,Mohammad Ashraful (BDESH),5,22,13,1,0,38.46,2,v Zimbabwe,Dhaka,5,0
2009-01-21,Raqibul Hasan (BDESH),52*,127,100,7,0,52,2,v Zimbabwe,Dhaka,52*,1
2009-01-21,Shakib Al Hasan (BDESH),22,43,24,3,0,91.66,2,v Zimbabwe,Dhaka,22,0
2009-01-21,Mushfiqur Rahim (BDESH),13*,29,20,1,1,65,2,v Zimbabwe,Dhaka,13*,1
2009-01-21,TM Dilshan (SL),76,141,88,11,0,86.36,1,v Pakistan,Karachi,76,0
2009-01-21,ST Jayasuriya (SL),19,34,17,4,0,111.76,1,v Pakistan,Karachi,19,0
2009-01-21,KC Sangakkara (SL),16,29,22,3,0,72.72,1,v Pakistan,Karachi,16,0
2009-01-21,SHT Kandamby (SL),59,100,79,4,0,74.68,1,v Pakistan,Karachi,59,0
2009-01-21,DPMD Jayawardene (SL),24,59,34,1,0,70.58,1,v Pakistan,Karachi,24,0
2009-01-21,CK Kapugedera (SL),44,71,39,2,2,112.82,1,v Pakistan,Karachi,44,0
2009-01-21,MF Maharoof (SL),17,15,13,2,0,130.76,1,v Pakistan,Karachi,17,0
2009-01-21,T Thushara (SL),8,9,7,0,0,114.28,1,v Pakistan,Karachi,8,0
2009-01-21,M Muralitharan (SL),11*,11,7,1,0,157.14,1,v Pakistan,Karachi,11*,1
2009-01-21,KMDN Kulasekara (SL),0*,1,0,0,0,-,1,v Pakistan,Karachi,0*,1
2009-01-21,Khurram Manzoor (PAK),1,4,2,0,0,50,2,v Sri Lanka,Karachi,1,0
2009-01-21,Salman Butt (PAK),62,117,87,6,0,71.26,2,v Sri Lanka,Karachi,62,0
2009-01-21,Younis Khan (PAK),4,8,6,1,0,66.66,2,v Sri Lanka,Karachi,4,0
2009-01-21,Misbah-ul-Haq (PAK),1,4,2,0,0,50,2,v Sri Lanka,Karachi,1,0
2009-01-21,Shoaib Malik (PAK),54,94,52,5,1,103.84,2,v Sri Lanka,Karachi,54,0
2009-01-21,Kamran Akmal (PAK),6,17,10,0,0,60,2,v Sri Lanka,Karachi,6,0
2009-01-21,Shahid Afridi (PAK),14,28,19,1,0,73.68,2,v Sri Lanka,Karachi,14,0
2009-01-21,Sohail Tanvir (PAK),1,3,2,0,0,50,2,v Sri Lanka,Karachi,1,0
2009-01-21,Umar Gul (PAK),0,6,6,0,0,0,2,v Sri Lanka,Karachi,0,0
2009-01-21,Iftikhar Anjum (PAK),5,16,13,1,0,38.46,2,v Sri Lanka,Karachi,5,0
2009-01-21,Shoaib Akhtar (PAK),1*,12,10,0,0,10,2,v Sri Lanka,Karachi,1*,1
2009-01-23,V Sibanda (ZIM),0,3,5,0,0,0,1,v Bangladesh,Dhaka,0,0
2009-01-23,H Masakadza (ZIM),10,23,11,2,0,90.9,1,v Bangladesh,Dhaka,10,0
2009-01-23,S Matsikenyeri (ZIM),10,37,27,1,0,37.03,1,v Bangladesh,Dhaka,10,0
2009-01-23,T Taibu (ZIM),12,37,17,1,0,70.58,1,v Bangladesh,Dhaka,12,0
2009-01-23,SC Williams (ZIM),38,63,46,5,0,82.6,1,v Bangladesh,Dhaka,38,0
2009-01-23,P Utseya (ZIM),6,29,23,1,0,26.08,1,v Bangladesh,Dhaka,6,0
2009-01-23,E Chigumbura (ZIM),7,18,19,0,0,36.84,1,v Bangladesh,Dhaka,7,0
2009-01-23,KM Dabengwa (ZIM),21*,46,42,2,0,50,1,v Bangladesh,Dhaka,21*,1
2009-01-23,RW Price (ZIM),7,22,19,1,0,36.84,1,v Bangladesh,Dhaka,7,0
2009-01-23,EC Rainsford (ZIM),1,11,9,0,0,11.11,1,v Bangladesh,Dhaka,1,0
2009-01-23,CB Mpofu (ZIM),1*,6,4,0,0,25,1,v Bangladesh,Dhaka,1*,1
2009-01-23,Tamim Iqbal (BDESH),34,67,49,5,0,69.38,2,v Zimbabwe,Dhaka,34,0
2009-01-23,Mehrab Hossain jnr (BDESH),2,42,25,0,0,8,2,v Zimbabwe,Dhaka,2,0
2009-01-23,Mohammad Ashraful (BDESH),3,46,31,0,0,9.67,2,v Zimbabwe,Dhaka,3,0
2009-01-23,Raqibul Hasan (BDESH),14,45,23,3,0,60.86,2,v Zimbabwe,Dhaka,14,0
