,Player_Name,Country,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
172,MF Maharoof ,SL,38*,106,76,0,2,50.00,2,v Bangladesh,Dhaka,16 Jan 2009
173,KMDN Kulasekara ,SL,0,1,2,0,0,0.00,2,v Bangladesh,Dhaka,16 Jan 2009
174,M Muralitharan ,SL,33*,21,16,4,2,206.25,2,v Bangladesh,Dhaka,16 Jan 2009
175,BAW Mendis ,SL,DNB,-,-,-,-,-,2,v Bangladesh,Dhaka,16 Jan 2009
176,SE Marsh ,AUS,79,148,97,4,1,81.44,1,v South Africa,Melbourne,16 Jan 2009
177,MEK Hussey ,AUS,6,9,11,1,0,54.54,1,v South Africa,Melbourne,16 Jan 2009
178,RT Ponting ,AUS,46,71,54,5,0,85.18,1,v South Africa,Melbourne,16 Jan 2009
179,MJ Clarke ,AUS,19,39,38,1,0,50.00,1,v South Africa,Melbourne,16 Jan 2009
180,DJ Hussey ,AUS,52,63,50,5,0,104.00,1,v South Africa,Melbourne,16 Jan 2009
181,CL White ,AUS,21,31,24,2,0,87.50,1,v South Africa,Melbourne,16 Jan 2009
182,BJ Haddin ,AUS,19,19,12,2,0,158.33,1,v South Africa,Melbourne,16 Jan 2009
183,JR Hopes ,AUS,2,9,4,0,0,50.00,1,v South Africa,Melbourne,16 Jan 2009
184,NW Bracken ,AUS,12*,10,8,1,0,150.00,1,v South Africa,Melbourne,16 Jan 2009
185,BW Hilfenhaus ,AUS,1*,5,2,0,0,50.00,1,v South Africa,Melbourne,16 Jan 2009
186,SW Tait ,AUS,DNB,-,-,-,-,-,1,v South Africa,Melbourne,16 Jan 2009
187,HH Gibbs ,SA,22,32,28,3,0,78.57,2,v Australia,Melbourne,16 Jan 2009
188,HM Amla ,SA,1,4,3,0,0,33.33,2,v Australia,Melbourne,16 Jan 2009
189,JH Kallis ,SA,41,70,49,4,0,83.67,2,v Australia,Melbourne,16 Jan 2009
190,JP Duminy ,SA,71,131,93,0,0,76.34,2,v Australia,Melbourne,16 Jan 2009
191,ND McKenzie ,SA,63,105,80,6,0,78.75,2,v Australia,Melbourne,16 Jan 2009
192,MV Boucher ,SA,0,4,1,0,0,0.00,2,v Australia,Melbourne,16 Jan 2009
193,VB van Jaarsveld ,SA,4,7,7,0,0,57.14,2,v Australia,Melbourne,16 Jan 2009
194,JA Morkel ,SA,40*,38,18,4,1,222.22,2,v Australia,Melbourne,16 Jan 2009
195,J Botha ,SA,12*,33,18,1,0,66.66,2,v Australia,Melbourne,16 Jan 2009
196,DW Steyn ,SA,DNB,-,-,-,-,-,2,v Australia,Melbourne,16 Jan 2009
197,M Morkel ,SA,DNB,-,-,-,-,-,2,v Australia,Melbourne,16 Jan 2009
198,SE Marsh ,AUS,78,137,103,9,0,75.72,1,v South Africa,Hobart,18 Jan 2009
199,DA Warner ,AUS,5,17,7,1,0,71.42,1,v South Africa,Hobart,18 Jan 2009
200,RT Ponting ,AUS,64,106,72,7,0,88.88,1,v South Africa,Hobart,18 Jan 2009
201,MEK Hussey ,AUS,28,39,34,2,0,82.35,1,v South Africa,Hobart,18 Jan 2009
202,DJ Hussey ,AUS,19,51,30,1,0,63.33,1,v South Africa,Hobart,18 Jan 2009
203,CL White ,AUS,1,6,5,0,0,20.00,1,v South Africa,Hobart,18 Jan 2009
204,BJ Haddin ,AUS,23,51,26,1,0,88.46,1,v South Africa,Hobart,18 Jan 2009
205,JR Hopes ,AUS,8,11,13,0,0,61.53,1,v South Africa,Hobart,18 Jan 2009
206,RJ Harris ,AUS,7,13,10,0,0,70.00,1,v South Africa,Hobart,18 Jan 2009
207,NW Bracken ,AUS,0*,1,0,0,0,-,1,v South Africa,Hobart,18 Jan 2009
208,BW Hilfenhaus ,AUS,DNB,-,-,-,-,-,1,v South Africa,Hobart,18 Jan 2009
209,HH Gibbs ,SA,19,55,37,1,0,51.35,2,v Australia,Hobart,18 Jan 2009
210,HM Amla ,SA,8,22,19,0,0,42.10,2,v Australia,Hobart,18 Jan 2009
211,JH Kallis ,SA,72,102,96,5,0,75.00,2,v Australia,Hobart,18 Jan 2009
212,AB de Villiers ,SA,44,78,62,2,0,70.96,2,v Australia,Hobart,18 Jan 2009
213,JP Duminy ,SA,35,57,34,3,0,102.94,2,v Australia,Hobart,18 Jan 2009
214,ND McKenzie ,SA,8,20,15,0,0,53.33,2,v Australia,Hobart,18 Jan 2009
215,MV Boucher ,SA,37*,49,32,2,1,115.62,2,v Australia,Hobart,18 Jan 2009
216,JA Morkel ,SA,11*,22,5,2,0,220.00,2,v Australia,Hobart,18 Jan 2009
217,J Botha ,SA,DNB,-,-,-,-,-,2,v Australia,Hobart,18 Jan 2009
218,DW Steyn ,SA,DNB,-,-,-,-,-,2,v Australia,Hobart,18 Jan 2009
219,M Ntini ,SA,DNB,-,-,-,-,-,2,v Australia,Hobart,18 Jan 2009
220,Tamim Iqbal ,BDESH,13,84,54,2,0,24.07,1,v Zimbabwe,Dhaka,19 Jan 2009
221,Junaid Siddique ,BDESH,3,29,24,0,0,12.50,1,v Zimbabwe,Dhaka,19 Jan 2009
222,Mohammad Ashraful ,BDESH,4,26,18,0,0,22.22,1,v Zimbabwe,Dhaka,19 Jan 2009
223,Raqibul Hasan ,BDESH,28,55,33,6,0,84.84,1,v Zimbabwe,Dhaka,19 Jan 2009
224,Shakib Al Hasan ,BDESH,15,31,21,0,1,71.42,1,v Zimbabwe,Dhaka,19 Jan 2009
225,Mushfiqur Rahim ,BDESH,22,54,38,3,0,57.89,1,v Zimbabwe,Dhaka,19 Jan 2009
226,Mahmudullah ,BDESH,14,43,41,1,0,34.14,1,v Zimbabwe,Dhaka,19 Jan 2009
227,Naeem Islam ,BDESH,15,33,32,1,0,46.87,1,v Zimbabwe,Dhaka,19 Jan 2009
228,Mashrafe Mortaza ,BDESH,5,14,17,1,0,29.41,1,v Zimbabwe,Dhaka,19 Jan 2009
229,Nazmul Hossain ,BDESH,0,9,9,0,0,0.00,1,v Zimbabwe,Dhaka,19 Jan 2009
230,Rubel Hossain ,BDESH,0*,2,2,0,0,0.00,1,v Zimbabwe,Dhaka,19 Jan 2009
231,H Masakadza ,ZIM,2,11,12,0,0,16.66,2,v Bangladesh,Dhaka,19 Jan 2009
232,T Taibu ,ZIM,14,33,16,2,0,87.50,2,v Bangladesh,Dhaka,19 Jan 2009
233,S Matsikenyeri ,ZIM,7,25,14,1,0,50.00,2,v Bangladesh,Dhaka,19 Jan 2009
234,SC Williams ,ZIM,8,32,18,1,0,44.44,2,v Bangladesh,Dhaka,19 Jan 2009
235,E Chigumbura ,ZIM,0,37,27,0,0,0.00,2,v Bangladesh,Dhaka,19 Jan 2009
236,MN Waller ,ZIM,24,64,48,4,0,50.00,2,v Bangladesh,Dhaka,19 Jan 2009
237,KM Dabengwa ,ZIM,1,19,16,0,0,6.25,2,v Bangladesh,Dhaka,19 Jan 2009
238,P Utseya ,ZIM,21,76,75,1,0,28.00,2,v Bangladesh,Dhaka,19 Jan 2009
239,RW Price ,ZIM,23*,80,52,2,0,44.23,2,v Bangladesh,Dhaka,19 Jan 2009
240,T Mupariwa ,ZIM,10*,38,22,0,0,45.45,2,v Bangladesh,Dhaka,19 Jan 2009
241,EC Rainsford ,ZIM,DNB,-,-,-,-,-,2,v Bangladesh,Dhaka,19 Jan 2009
242,TM Dilshan ,SL,42,45,33,7,0,127.27,1,v Pakistan,Karachi,20 Jan 2009
243,ST Jayasuriya ,SL,38,64,35,6,0,108.57,1,v Pakistan,Karachi,20 Jan 2009
244,KC Sangakkara ,SL,49,110,70,4,0,70.00,1,v Pakistan,Karachi,20 Jan 2009
245,DPMD Jayawardene ,SL,1,6,3,0,0,33.33,1,v Pakistan,Karachi,20 Jan 2009
246,CK Kapugedera ,SL,27,53,43,2,0,62.79,1,v Pakistan,Karachi,20 Jan 2009
247,J Mubarak ,SL,8,21,16,0,0,50.00,1,v Pakistan,Karachi,20 Jan 2009
248,MF Maharoof ,SL,11,43,30,0,0,36.66,1,v Pakistan,Karachi,20 Jan 2009
249,T Thushara ,SL,0,1,1,0,0,0.00,1,v Pakistan,Karachi,20 Jan 2009
250,KMDN Kulasekara ,SL,24,35,33,1,0,72.72,1,v Pakistan,Karachi,20 Jan 2009
251,M Muralitharan ,SL,7*,10,7,1,0,100.00,1,v Pakistan,Karachi,20 Jan 2009
252,BAW Mendis ,SL,1,7,3,0,0,33.33,1,v Pakistan,Karachi,20 Jan 2009
253,Khurram Manzoor ,PAK,83,146,128,9,0,64.84,2,v Sri Lanka,Karachi,20 Jan 2009
254,Salman Butt ,PAK,100*,183,117,13,0,85.47,2,v Sri Lanka,Karachi,20 Jan 2009
255,Younis Khan ,PAK,20,24,22,3,0,90.90,2,v Sri Lanka,Karachi,20 Jan 2009
256,Shoaib Malik ,PAK,11*,11,10,1,0,110.00,2,v Sri Lanka,Karachi,20 Jan 2009
257,Iftikhar Anjum ,PAK,DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20 Jan 2009
258,Shahid Afridi ,PAK,DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20 Jan 2009
259,Misbah-ul-Haq ,PAK,DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20 Jan 2009
